File,Table,Column,Current Type,Issue,Severity,Recommendation
"/db/schema/economy/vaults.ts","vaults","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/economy/vaults.ts","vaults","blockchainTxId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/economy/vaults.ts","vaults","unlockBlockchainTxId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/economy/wallets.ts","wallets","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/economy/withdrawalRequests.ts","withdrawalRequests","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/economy/xpAdjustmentLogs.ts","xpAdjustmentLogs","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/economy/xpAdjustmentLogs.ts","xpAdjustmentLogs","adminId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/economy/xpLogs.ts","xpLogs","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/pollVotes.ts","pollVotes","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/polls.ts","polls","threadId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/postDrafts.ts","postDrafts","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/postLikes.ts","postLikes","postId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/postLikes.ts","postLikes","likedByUserId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/postReactions.ts","postReactions","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/postReactions.ts","postReactions","postId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/posts.ts","posts","threadId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/posts.ts","posts","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/threadBookmarks.ts","userThreadBookmarks","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/threadBookmarks.ts","userThreadBookmarks","threadId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/threadDrafts.ts","threadDrafts","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/threadFeaturePermissions.ts","threadFeaturePermissions","threadId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/threadTags.ts","threadTags","threadId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/threadTags.ts","threadTags","tagId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/threads.ts","threads","structureId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/threads.ts","threads","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/userEmojiPacks.ts","userEmojiPacks","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/forum/userRuleAgreements.ts","userRulesAgreements","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/gamification/achievementEvents.ts","achievementEvents","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/gamification/userAchievements.ts","userAchievements","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/gamification/userMissionProgress.ts","userMissionProgress","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/messaging/conversationParticipants.ts","conversationParticipants","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/messaging/directMessages.ts","directMessages","senderId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/messaging/directMessages.ts","directMessages","recipientId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/messaging/messageReads.ts","messageReads","messageId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/messaging/messageReads.ts","messageReads","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/messaging/messages.ts","messages","senderId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/messaging/onlineUsers.ts","onlineUsers","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/messaging/shoutboxMessages.ts","shoutboxMessages","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/shop/inventoryTransactions.ts","inventoryTransactions","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/shop/orders.ts","orders","paymentId","varchar","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/shop/userInventory.ts","userInventory","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/shop/userInventory.ts","userInventory","productId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/shop/userInventory.ts","userInventory","inventoryId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/shop/userSignatureItems.ts","userSignatureItems","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/social/friends.ts","friendships","requesterId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/social/friends.ts","friendships","addresseeId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/social/friends.ts","friendships","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/social/friends.ts","friendships","userId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
"/db/schema/social/mentions.ts","mentions","mentionedUserId","uuid","Foreign key column missing .references()","medium","Add: .references(() => [targetTable].id)"
